Name,Position,Years,State
Laura Kelly (D),Governor,2019-present,KS
Janet Mills (D),Governor,2019-present,ME
Gretchen Whitmer (D),Governor,2019-present,MI
Michelle Lujan Grisham (D),Governor,2019-present,NM
Kristi Lynn Noem (R),Governor,2019-present,SD
Laura Kelly (D),Governor,2019-present,KS
Kay Ivey (R),Governor,2017-present,AL
Kate Brown (D),Governor,2015-present,OR
Gina Raimondo (D),Governor,2015-present,RI
Maggie Hassan (D),Governor,2013-2017,NH
Kim Reynolds (R),Governor,2011-present,IA
Susana Martinez (R),Governor,2011-present,NM
Mary Fallin (R),Governor,2011-2018,OK
Nikki Haley (R),Governor,2011-2017,SC
Jan Brewer (R),Governor,2009-2015,AZ
Beverly M. Perdue (D),Governor,2009-2013,NC
Sarah Palin (R),Governor,2007-2009,AK
Christine O. Gregoire (D),Governor,2005-2013,WA
M. Jodi Rell (R),Governor,2004-2011,CT
Kathleen Blanco (D),Governor,2004-2007,LA
Linda Lingle (R),Governor,2003-2011,HI
Jennifer Granholm (D),Governor,2003-2011,MI
Janet Napolitano (D),Governor,2003-2009,AZ
Kathleen Sebelius (D),Governor,2003-2009,KS
Olene S. Walker (R),Governor,2003-2005,UT
Ruth Ann Minner (D),Governor,2001-2009,DE
Judy Martz (R),Governor,2001-2005,MT
Jane Swift (R),Governor,2001-2003,MA
Nancy P. Hollister (R),Governor,1998-1999,OH
Jeanne Shaheen (D),Governor,1997-2003,NH
Christine Todd Whitman (R),Governor,1994-2001,NJ
Joan Finney (D),Governor,1991-1995,KS
Barbara Roberts (D),Governor,1991-1995,OR
Ann Richards (D),Governor,1991-1995,TX
Rose Mofford (D),Governor,1988-1991,AZ
Kay A. Orr (R),Governor,1987-1991,NE
Madeleine M. Kunin (D),Governor,1985-1991,VT
Martha Layne Collins (D),Governor,1984-1987,KY
Vesta Roy (R),Governor,1982-1983,NH
Dixy Lee Ray (D),Governor,1977-1981,WA
Ella T. Grasso (D),Governor,1975-1980,CT
Lurleen Wallace (D),Governor,1967-1968,AL
Miriam Ferguson (D),Governor,1925-1927,TX
Miriam Ferguson (D),Governor,1933-1935,TX
Nellie Tayloe Ross (D),Governor,1925-1927,WY
Jane Dee Hull (R),Governor,1997-2003,AZ